session,cash,position_value,equity,open_positions,exposure_pct,daily_return,running_peak,drawdown_pct,benchmark_equity
2022-04-06,116391.65213510097,37395.54,153787.19213510098,1,0.2431642029535742,-0.0011247051438805222,164319.00849060089,-0.06409371899357784,216401.3556536921
2022-04-07,116391.65213510097,37527.75,153919.40213510097,1,0.24381429163206111,0.0008596944788734628,164319.00849060089,-0.06328912553105366,217495.12170072916
2022-04-08,116391.65213510097,37679.85,154071.50213510098,1,0.24456080117242965,0.000988179514019194,164319.00849060089,-0.06236348703434435,216909.72578823045
2022-04-11,116391.65213510097,37227.06,153618.71213510097,1,0.24233414980891402,-0.0029388303075215116,164319.00849060089,-0.06511904163608666,213202.21834240522
2022-04-12,116391.65213510097,37121.759999999995,153513.41213510098,1,0.24181444138138644,-0.0006854633692501277,164319.00849060089,-0.06575986828765455,212416.5554072096
2022-04-13,116391.65213510097,37505.52,153897.17213510096,1,0.24370506280047308,0.00249984672129,164319.00849060089,-0.06342441115749586,214845.43493889284
2022-04-14,116391.65213510097,37359.27,153750.92213510096,1,0.24298566461391627,-0.0009503098593105497,164319.00849060089,-0.06431444817356248,212170.07291773646
2022-04-18,116391.65213510097,37339.38,153731.03213510098,1,0.24288772072502335,-0.00012936507777494555,164319.00849060089,-0.06443549320774744,212257.36879942488
2022-04-19,116391.65213510097,37883.43,154275.08213510097,1,0.2455576718917247,0.0035389731822126347,164319.00849060089,-0.06112455550797969,215687.58344459275
2022-04-20,79432.06113010098,74726.83,154158.891130101,2,0.4847390212280067,-0.0007531417477919522,164319.00849060089,-0.06183166180120332,215528.39683680804
2022-04-21,152939.438345101,0.0,152939.438345101,0,0.0,-0.007910362977188612,164319.00849060089,-0.06925291389006165,212303.58426620107
2022-04-22,152939.438345101,0.0,152939.438345101,0,0.0,0.0,164319.00849060089,-0.06925291389006165,206475.300400534
2022-04-25,152939.438345101,0.0,152939.438345101,0,0.0,0.0,164319.00849060089,-0.06925291389006165,207676.9025367156
2022-04-26,152939.438345101,0.0,152939.438345101,0,0.0,0.0,164319.00849060089,-0.06925291389006165,201658.62175207966
2022-04-27,152939.438345101,0.0,152939.438345101,0,0.0,0.0,164319.00849060089,-0.06925291389006165,202228.61250898632
2022-04-28,152939.438345101,0.0,152939.438345101,0,0.0,0.0,164319.00849060089,-0.06925291389006165,207337.98911369
2022-04-29,152939.438345101,0.0,152939.438345101,0,0.0,0.0,164319.00849060089,-0.06925291389006165,199671.35668070245
2022-05-02,152939.438345101,0.0,152939.438345101,0,0.0,0.0,164319.00849060089,-0.06925291389006165,200872.95881688403
2022-05-03,152939.438345101,0.0,152939.438345101,0,0.0,0.0,164319.00849060089,-0.06925291389006165,201797.26815240833
2022-05-04,152939.438345101,0.0,152939.438345101,0,0.0,0.0,164319.00849060089,-0.06925291389006165,207943.92523364484
2022-05-05,149812.257744101,0.0,149812.257744101,0,0.0,-0.020447182458874114,164319.00849060089,-0.08828406938281692,200549.45054945053
2022-05-06,149812.257744101,0.0,149812.257744101,0,0.0,0.0,164319.00849060089,-0.08828406938281692,199352.983465133
2022-05-09,149812.257744101,0.0,149812.257744101,0,0.0,0.0,164319.00849060089,-0.08828406938281692,192970.11399815138
2022-05-10,149812.257744101,0.0,149812.257744101,0,0.0,0.0,164319.00849060089,-0.08828406938281692,193416.86351032145
2022-05-11,149812.257744101,0.0,149812.257744101,0,0.0,0.0,164319.00849060089,-0.08828406938281692,190346.1024956352
2022-05-12,149812.257744101,0.0,149812.257744101,0,0.0,0.0,164319.00849060089,-0.08828406938281692,190145.83547293826
2022-05-13,149812.257744101,0.0,149812.257744101,0,0.0,0.0,164319.00849060089,-0.08828406938281692,194690.35637259934
2022-05-16,149812.257744101,0.0,149812.257744101,0,0.0,0.0,164319.00849060089,-0.08828406938281692,193899.55838553968
2022-05-17,149812.257744101,0.0,149812.257744101,0,0.0,0.0,164319.00849060089,-0.08828406938281692,197889.4936838862
2022-05-18,146756.291764701,0.0,146756.291764701,0,0.0,-0.020398637771149475,164319.00849060089,-0.10688183240166332,189914.75813905717
2022-05-19,146756.291764701,0.0,146756.291764701,0,0.0,0.0,164319.00849060089,-0.10688183240166332,188749.10136592377
2022-05-20,146756.291764701,0.0,146756.291764701,0,0.0,0.0,164319.00849060089,-0.10688183240166332,188831.26219574816
2022-05-23,111017.49182470099,35787.72,146805.211824701,1,0.2437769037977606,0.00033334216483504875,164319.00849060089,-0.10658411845822262,192364.17787819655
2022-05-24,74789.437333501,71615.32,146404.757333501,2,0.4891597875939559,-0.0027277947848211026,164319.00849060089,-0.10902117364056867,190895.55304508575
2022-05-25,74789.437333501,72144.12,146933.557333501,2,0.49099825328703905,0.0036119044874711737,164319.00849060089,-0.1058030432193993,192584.9851083496
2022-05-26,39165.349713501,109618.89000000001,148784.239713501,3,0.7367641237477988,0.012595369046973115,164319.00849060089,-0.09454030254806747,196431.1389545034
2022-05-27,3554.798638501001,148490.02000000002,152044.81863850102,4,0.9766200606483485,0.021914813902860875,164319.00849060089,-0.0746973217818677,201252.9526548218
2022-05-31,3554.798638501001,147509.59,151064.388638501,4,0.9764683214188377,-0.006448296027312006,164319.00849060089,-0.08066394736588285,200123.24124473656
2022-06-01,3554.798638501001,146524.75,150079.548638501,4,0.9763139037213958,-0.006519339262390456,164319.00849060089,-0.08665741098915156,198505.69990756904
2022-06-02,3554.798638501001,149588.65,153143.448638501,4,0.9767877851119039,0.020415173338374393,164319.00849060089,-0.06801136371717541,202259.42282017047
